"title","writer","pony","dialog"
"Friendship is Magic, part 1","Lauren Faust","Narrator","Once upon a time, in the magical land of Equestria, there were two regal sisters who ruled together and created harmony for all the land. To do this, the eldest used her unicorn powers to raise the sun at dawn; the younger brought out the moon to begin the night. Thus, the two sisters maintained balance for their kingdom and their subjects, all the different types of ponies. But as time went on, the younger sister became resentful. The ponies relished and played in the day her elder sister brought forth, but shunned and slept through her beautiful night. One fateful day, the younger unicorn refused to lower the moon to make way for the dawn. The elder sister tried to reason with her, but the bitterness in the young one's heart had transformed her into a wicked mare of darkness: Nightmare Moon."
"Friendship is Magic, part 1","Lauren Faust","Narrator","She vowed that she would shroud the land in eternal night. Reluctantly, the elder sister harnessed the most powerful magic known to ponydom: the Elements of Harmony. Using the magic of the Elements of Harmony, she defeated her younger sister, and banished her permanently in the moon. The elder sister took on responsibility for both..."
"Friendship is Magic, part 1","Lauren Faust","Narrator and Twilight Sparkle","...sun and moon..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","...and harmony has been maintained in Equestria for generations since. Hmm... Elements of Harmony. I know I've heard of those before... but where?"
"Friendship is Magic, part 1","Lauren Faust","Twinkleshine","There you are, Twilight! Moon Dancer is having a little get-together in the west castle courtyard. You wanna come?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Oh, sorry, girls... I've got a lot of studying to catch up on."
"Friendship is Magic, part 1","Lauren Faust","Twinkleshine","[sigh] Does that pony do anything except study? I think she's more interested in books than friends."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","I know I've heard of the Elements of Harmony."
"Friendship is Magic, part 1","Lauren Faust","Spike","Ow!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Spike! Spi-ike! Spike?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","There you are. Quick, find me that old copy of Predictions and Prophecies. What's that for?"
"Friendship is Magic, part 1","Lauren Faust","Spike","Well, it was a gift for Moon Dancer, but..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Oh Spike, you know we don't have time for that sort of thing."
"Friendship is Magic, part 1","Lauren Faust","Spike","But we're on a break!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","No, no, no... no, no, no! [grunts] Spike!"
"Friendship is Magic, part 1","Lauren Faust","Spike","It's over here!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Ah! Elements, Elements, E, E, E... Aha! Elements of Harmony, see: Mare in the Moon?"
"Friendship is Magic, part 1","Lauren Faust","Spike","Mare in the Moon? But that's just an old ponies' tale."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Mare, mare... aha! The Mare in the Moon, myth from olden pony times. A powerful pony who wanted to rule Equestria, defeated by the Elements of Harmony and imprisoned in the moon. Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about nighttime eternal! [gasp] Spike! Do you know what this means?"
"Friendship is Magic, part 1","Lauren Faust","Spike","No<U+0097> whoa!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Ow!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Take a note please, to the Princess."
"Friendship is Magic, part 1","Lauren Faust","Spike","Okie dokie."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","My dearest teacher, my continuing studies of pony magic have led me to discover that we are on the precipice of disaster!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Hold on. Preci... preci..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Threshold."
"Friendship is Magic, part 1","Lauren Faust","Spike","Threh..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Uh, brink? Ugh, that something really bad is about to happen! For you see, the mythical Mare in the Moon is in fact Nightmare Moon, and she's about to return to Equestria, and bring with her eternal night! Something must be done to make sure this terrible prophecy does not come true. I await your quick response. Your faithful student, Twilight Sparkle."
"Friendship is Magic, part 1","Lauren Faust","Spike","Twi... light Spar... kle. Got it!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Great! Send it."
"Friendship is Magic, part 1","Lauren Faust","Spike","Now?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Of course!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Uh, I dunno, Twilight, Princess Celestia's a little busy getting ready for the Summer Sun Celebration. And it's like, the day after tomorrow."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","That's just it, Spike. The day after tomorrow is the thousandth year of the Summer Sun Celebration! It's imperative that the Princess is told right away!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Impera... impera..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Important!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Whoa!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Okay, okay! [inhale] There, it's on its way. But I wouldn't hold your breath..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Oh, I'm not worried, Spike. The Princess trusts me completely. In all the years she's been my mentor she's never once doubted me."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","See? I knew she would want to take immediate action."
"Friendship is Magic, part 1","Lauren Faust","Spike","[clears throat] My dearest, most faithful student Twilight. You know that I value your diligence and that I trust you completely."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Mm-hm!"
"Friendship is Magic, part 1","Lauren Faust","Spike","...but you simply must stop reading those dusty old books!"
"Friendship is Magic, part 1","Lauren Faust","Spike","My dear Twilight, there is more to a young pony's life than studying, so I'm sending you to supervise the preparations for the Summer Sun Celebration in this year's location: Ponyville. And, I have an even more essential task for you to complete: make some friends!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Look on the bright side, Twilight. The Princess arranged for you to stay in a library. Doesn't that make you happy?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Yes, yes it does. You know why? Because I'm right! I'll check on the preparations as fast as I can, then get to the library to find some proof of Nightmare Moon's return."
"Friendship is Magic, part 1","Lauren Faust","Spike","Then... when will you make friends, like the Princess said?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","She said to check on preparations. I am her student, and I'll do my royal duty, but the fate of Equestria does not rest on me making friends."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Thank you, sirs."
"Friendship is Magic, part 1","Lauren Faust","Spike","Maybe the ponies in Ponyville have interesting things to talk about. Come on, Twilight, just try!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Um... hello?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Well, that was interesting all right."
"Friendship is Magic, part 1","Lauren Faust","Spike","Summer Sun Celebration official overseer's checklist. Number one, banquet preparations: Sweet Apple Acres."
"Friendship is Magic, part 1","Lauren Faust","Applejack","Yeehaw!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","[sigh] Let's get this over with... Good afternoon. My name is Twilight Sparkle<U+0097>"
"Friendship is Magic, part 1","Lauren Faust","Applejack","Well, howdy-doo, Miss Twilight, a pleasure makin' your acquaintance. I'm Applejack. We here at Sweet Apple Acres sure do like makin' new friends!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Friends? Actually, I<U+0097>"
"Friendship is Magic, part 1","Lauren Faust","Applejack","So, what can I do you for?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","[clears throat] Well, I am in fact here to supervise preparations for the Summer Sun Celebration. And you're in charge of the food?"
"Friendship is Magic, part 1","Lauren Faust","Applejack","We sure as sugar are! Would you care to sample some?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","As long as it doesn't take too long..."
"Friendship is Magic, part 1","Lauren Faust","Applejack","Soup's on, everypony!"
"Friendship is Magic, part 1","Lauren Faust","Applejack","Now, why don't I introduce y'all to the Apple family?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Thanks, but I really need to hurry<U+0097>"
"Friendship is Magic, part 1","Lauren Faust","Applejack","This here's Apple Fritter. Apple Bumpkin. Red Gala. Red Delicious, Golden Delicious, Caramel Apple, Apple Strudel, Apple Tart, Baked Apples, Apple Brioche, Apple Cinnamon Crisp... [deep breath] Big McIntosh, Apple Bloom and Granny Smith. Up'n'attem, Granny Smith, we got guests."
"Friendship is Magic, part 1","Lauren Faust","Granny Smith","[snort] Wha..? Soup's on? I'm up, here I come, ahm comin'..."
"Friendship is Magic, part 1","Lauren Faust","Applejack","Why, I'd say you're already part of the family!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","[spit] [nervous laughter] Okay, well, I can see the food situation is handled, so we'll be on our way."
"Friendship is Magic, part 1","Lauren Faust","Apple Bloom","Aren't you gonna stay for brunch?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Sorry, but we have an awful lot to do..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","...fine."
"Friendship is Magic, part 1","Lauren Faust","Spike","Food's all taken care of, next is weather."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Ugh... I ate too much pie..."
"Friendship is Magic, part 1","Lauren Faust","Spike","Hmm, there's supposed to be a Pegasus pony named Rainbow Dash clearing the clouds."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Well, she's not doing a very good job, is she?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Nng."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Nnnn."
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","[laughter] Lemme help you."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Let me guess. You're Rainbow Dash."
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","The one and only. Why, you heard of me?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","I heard you were supposed to be keeping the sky clear. [sigh] I'm Twilight Sparkle, and the Princess sent me to check on the weather."
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","Yeah, yeah, that'll be a snap. I'll do it in a jiffy. Just as soon as I'm done practicing."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Practicing for what?"
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","The Wonderbolts! They're gonna perform at the Celebration tomorrow, and I'm gonna show 'em my stuff!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","The Wonderbolts?"
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","Yep!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","The most talented flyers in all of Equestria?"
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","That's them!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Pfft! Please. They'd never accept a Pegasus who can't even keep the sky clear for one measly day."
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","Hey, I could clear this sky in ten seconds flat."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Prove it."
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","[sounds of exertion] Loop-de-loop around, and wham! What'd I say? Ten. Seconds. Flat. I'd never leave Ponyville hanging. [sheep baaing] [chuckles] You should see the look on your face. Ha! You're a laugh, Twilight Sparkle. I can't wait to hang out some more."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Rrgh."
"Friendship is Magic, part 1","Lauren Faust","Spike","Wait! It's kinda pretty once you get used to it!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Decorations. Beautiful..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Yes, the d<e9>cor is coming along nicely. This ought'a be quick. I'll be at the library in no time. Beautiful indeed."
"Friendship is Magic, part 1","Lauren Faust","Spike","Not the d<e9>cor, her!"
"Friendship is Magic, part 1","Lauren Faust","Rarity","No, no, no, oh! Goodness no."
"Friendship is Magic, part 1","Lauren Faust","Spike","How are my spines? Are they straight?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Good afternoon<U+0097>"
"Friendship is Magic, part 1","Lauren Faust","Rarity","Just a moment, please! I'm 'in the zone', as it were. Oh, yes! Sparkle always does the trick, does it not? Why, Rarity, you are a talent. Now, um, how can I help yo<U+0097> [yelp] Oh my stars, darling! Whatever happened to your coiffure?!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Oh, you mean my mane? Well, it's a long story. I'm just here to check on the decorations, and then I'll be out of your hair!"
"Friendship is Magic, part 1","Lauren Faust","Rarity","Out of my hair? What about your hair?!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Wait! Where are we going?! Help!"
"Friendship is Magic, part 1","Lauren Faust","Rarity","No, no, uh-uh. Too green. Too yellow. Too poofy. Not poofy enough. Too frilly. Too... shiny. Now go on, my dear. You were telling me where you're from."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","[wincing] I've... been sent... from Canterlot... to<U+0097>"
"Friendship is Magic, part 1","Lauren Faust","Rarity","Huh?"
"Friendship is Magic, part 1","Lauren Faust","Rarity","Canterlot?! Oh, I am so envious! The glamour, the sophistication! I have always dreamed of living there! I can't wait to hear all about it! We are gonna be the best of friends, you and I... Emeralds?! What was I thinking? Let me get you some rubies!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Quick! Before she decides to dye my coat a new color!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Wasn't she wonderful?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Focus, Casanova. What's next on the list?"
"Friendship is Magic, part 1","Lauren Faust","Spike","[clears throat] Oh, uh, music! It's the last one!"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Oh my. Um, stop please, everyone, umm. Excuse me, sir? I mean no offense, but your rhythm is just a teeny-tiny bit off. Now, follow me, please. A-one, a-two, a-one two three-"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Hello!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Oh my, I'm so sorry, I didn't mean to frighten your birds. I'm just here to check up on the music and it's sounding beautiful. [pause] I'm Twilight Sparkle. [pause] What's your name?"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","[very quietly] Um... I'm Fluttershy."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","I'm sorry, what was that?"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","[even quieter] Um... My name is Fluttershy."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Didn't quite catch that."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","[pause] Well, um, it looks like your birds are back, so I guess everything's in order. Keep up the good work!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Oookay. [to Spike] Well, that was easy."
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","[gasp] A baby dragon!"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Oh, I've never seen a baby dragon before. He's sooo cute!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Well, well, well...!"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Oh my, he talks. I didn't know dragons could talk. That's just so incredibly wonderful I, I just don't even know what to say!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Well, in that case we'd better be going."
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Wait, wait! What's his name?"
"Friendship is Magic, part 1","Lauren Faust","Spike","I'm Spike."
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Hi Spike, I'm Fluttershy. Wow, a talking dragon! And what do dragons talk about?"
"Friendship is Magic, part 1","Lauren Faust","Spike","Well, what do you wanna know?"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Absolutely everything."
"Friendship is Magic, part 1","Lauren Faust","Spike","Well... I started out as a cute little purple and green egg..."
"Friendship is Magic, part 1","Lauren Faust","Spike","...and that's the story of my whole entire life! Well, up until today. Do you wanna hear about today?"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Oh, yes, please!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Gyah!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","I am so sorry, how did we get here so fast? This is where I'm staying while in Ponyville and my poor baby dragon needs his sleep."
"Friendship is Magic, part 1","Lauren Faust","Spike","No I don't<U+0097> whoa!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Aww, wook at dat, he's so sweepy he can't even keep his widdle bawance!"
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Poor thing, you simply must get into bed..."
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Yes, yes, we'll get right on that. Well, g'night!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Huh. Rude much?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Sorry, Spike, but I have to convince the Princess that Nightmare Moon is coming, and we're running out of time! I just need to be alone so I can study without a bunch of crazy ponies trying to make friends all the time. Now, where's the light?"
"Friendship is Magic, part 1","Lauren Faust","Ponies","Surprise!"
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","Surprise!"
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","Hi, I'm Pinkie Pie, and I threw this party just for you! Were you surprised? Were ya? Were ya? Huh huh huh?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Very surprised. Libraries are supposed to be quiet."
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","Well, that's silly! What kind of welcome party would this be if it were quiet? I mean, duh, bo-ring! Y'see, I saw you when you first got here, remember? You were all ""hello"" and I was all [deep gasp], remember? Y'see I've never saw you before and if I've never saw you before that means you're new, 'cause I know everypony, and I mean everypony in Ponyville!"
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","And if you're new, that meant you haven't met anyone yet, and if you haven't met anyone yet, you must not have any friends, and if you don't have any friends then you must be lonely, and that made me so sad, then I had an idea, and that's why I went [deep gasp]! I must throw a great big ginormous super-duper spectacular welcome party and invite everyone in Ponyville! See? And now you have lots and lots of friends!"
"Friendship is Magic, part 1","Lauren Faust","Applejack","Are you all right, sugarcube?"
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","Aww, she's so happy she's crying!"
"Friendship is Magic, part 1","Lauren Faust","Spike","""Hot sauce""."
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","Ooh... [with mouth full] What? It's good!"
"Friendship is Magic, part 1","Lauren Faust","Spike","Hey Twilight! Pinkie Pie's starting ""pin the tail on the pony""! Wanna play?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","No! All the ponies in this town are crazy! Do you know what time it is?!"
"Friendship is Magic, part 1","Lauren Faust","Spike","It's the eve of the Summer Sun Celebration. Everypony has to stay up, or they'll miss the Princess raise the sun! You really should lighten up, Twilight. It's a party!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Ugh, here I thought I'd have time to learn about the Elements of Harmony but, silly me, all this ridiculous friend-making has kept me from it! ""Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about everlasting night."" I hope the Princess was right... I hope it really is just an old pony tale..."
"Friendship is Magic, part 1","Lauren Faust","Spike","C'mon, Twilight, it's time to watch the sunrise!"
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","Isn't this exciting? Are you excited, 'cause I'm excited, I've never been so excited<U+0097> well, except for the time that I saw you walking into town and I went [deep gasp] but I mean really, who can top that?"
"Friendship is Magic, part 1","Lauren Faust","Mayor Mare","Fillies and gentlecolts, as mayor of Ponyville, it is my great pleasure to announce the beginning of the Summer Sun Celebration!"
"Friendship is Magic, part 1","Lauren Faust","Mayor Mare","In just a few moments, our town will witness the magic of the sunrise, and celebrate this, the longest day of the year! And now, it is my great honor to introduce to you the ruler of our land, the very pony who gives us the sun and the moon each and every day, the good, the wise, the bringer of harmony to all of Equestria..."
"Friendship is Magic, part 1","Lauren Faust","Fluttershy","Ready?"
"Friendship is Magic, part 1","Lauren Faust","Mayor Mare","...Princess Celestia!"
"Friendship is Magic, part 1","Lauren Faust","Rarity","Huh?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","This can't be good."
"Friendship is Magic, part 1","Lauren Faust","Mayor Mare","Remain calm, everypony, there must be a reasonable explanation!"
"Friendship is Magic, part 1","Lauren Faust","Pinkie Pie","Ooh, ooh, I love guessing games! Is she hiding?"
"Friendship is Magic, part 1","Lauren Faust","Rarity","She's gone!"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","Oh no... Nightmare Moon!"
"Friendship is Magic, part 1","Lauren Faust","Nightmare Moon","Oh, my beloved subjects. It's been so long since I've seen your precious little sun-loving faces."
"Friendship is Magic, part 1","Lauren Faust","Rainbow Dash","What did you do with our Princess?!"
"Friendship is Magic, part 1","Lauren Faust","Applejack","[muffled] Whoa there, Nelly..."
"Friendship is Magic, part 1","Lauren Faust","Nightmare Moon","[chuckle] Why, am I not royal enough for you? Don't you know who I am?"
"Friendship is Magic, part 1","Lauren Faust","Nightmare Moon","Does my crown no longer count now that I have been imprisoned for a thousand years? Did you not recall the legend? Did you not see the signs?"
"Friendship is Magic, part 1","Lauren Faust","Twilight Sparkle","I did. And I know who you are. You're the Mare in the Moon <U+0096> Nightmare Moon!"
"Friendship is Magic, part 1","Lauren Faust","Nightmare Moon","Well well well, somepony who remembers me. Then you also know why I'm here."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","""Elements of Harmony, see 'Mare in the Moon'""?"
"Friendship is Magic, part 2","Lauren Faust","Spike","But that's just an old ponies' tale."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","She will bring about nighttime eternal."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","It's imperative that the princess is told right away."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","I knew she would wanna take immediate action."
"Friendship is Magic, part 2","Lauren Faust","Spike","My dear Twilight, there is more to a young pony's life than studying. Make some friends!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","All the ponies in this town are crazy!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","I hope the Princess was right."
"Friendship is Magic, part 2","Lauren Faust","Rarity","She's gone!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Oh no. Nightmare Moon!"
"Friendship is Magic, part 2","Lauren Faust","Mayor Mare","Seize her! Only she knows where the Princess is!"
"Friendship is Magic, part 2","Lauren Faust","Applejack","Ergh..."
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","Come back here! [pants] Nighttime? Forever? Where's she going?"
"Friendship is Magic, part 2","Lauren Faust","Spike","Uh... We gotta stop Nightmare!..."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","You've been up all night, Spike. You are a baby dragon after all. Elements, elements, elements... Ugh! How can I stop Nightmare Moon without the Elements of Harmony?"
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","And just what are the Elements of Harmony? And how did you know about Nightmare Moon, huh? Are you a spy? Whoa!"
"Friendship is Magic, part 2","Lauren Faust","Applejack","Simmer down, Sally. She ain't no spy. But she sure knows what's going on. Don't you, Twilight?"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","I read all about the prediction of Nightmare Moon. Some mysterious objects called the Elements of Harmony are the only things that can stop her, but I don't know what they are, where to find them; I don't even know what they do!"
"Friendship is Magic, part 2","Lauren Faust","Pinkie Pie","""The Elements of Harmony: A Reference Guide."""
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","How did you find that?!"
"Friendship is Magic, part 2","Lauren Faust","Pinkie Pie","[sing-song voice] It was under ""E""!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Oh. There are six Elements of Harmony, but only five are known: Kindness, Laughter, Generosity, Honesty and Loyalty. The sixth is a complete mystery. It is said, the last known location of the five elements was in the ancient castle of the royal pony sisters. It is located in what is now--"
"Friendship is Magic, part 2","Lauren Faust","Everypony","The Everfree Forest!"
"Friendship is Magic, part 2","Lauren Faust","Pinkie Pie","Whee! Let's go!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Not so fast. Look, I appreciate the offer, but I'd really rather do this on my own."
"Friendship is Magic, part 2","Lauren Faust","Applejack","No can do, sugarcube. We sure ain't lettin' any friend of ours go into that creepy place alone. We're stickin' to you like caramel on a candy apple."
"Friendship is Magic, part 2","Lauren Faust","Pinkie Pie","Especially if there's candy apples in there. What? Those things are good."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","So, none of you have been in here before?"
"Friendship is Magic, part 2","Lauren Faust","Rarity","Ugh, heavens no! Just look at it - it's dreadful."
"Friendship is Magic, part 2","Lauren Faust","Applejack","And it ain't natural. Folks say it don't work the same as Equestria."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","What's that supposed to mean?"
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","Nopony knows. You know why?"
"Friendship is Magic, part 2","Lauren Faust","Applejack","Rainbow, quit it."
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","'cause everypony who's ever come in has never come out!"
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","Fluttershy! Quick!"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","Oh my goodness, oh my goodness."
"Friendship is Magic, part 2","Lauren Faust","Applejack","Hold on! I'm a-comin'!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Applejack! What do I do?"
"Friendship is Magic, part 2","Lauren Faust","Applejack","Let go."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Are you crazy?"
"Friendship is Magic, part 2","Lauren Faust","Applejack","No I ain't. I promise you'll be safe."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","That's not true!"
"Friendship is Magic, part 2","Lauren Faust","Applejack","Now listen here. What I'm sayin' to you is the honest truth. Let go, and you'll be safe."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Yaaah! Phew-wah!"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","Sorry girls. I'm not used to holding anything more than a bunny or two."
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","And once Pinkie and Rarity were saved, whoosh... Me and Fluttershy loop-de-loop around and WHAM! Caught you right in the nick of time."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Yes, Rainbow, I was there, and I'm very grateful, but we gotta- [gasp] A manticore!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","We've gotta get past him!"
"Friendship is Magic, part 2","Lauren Faust","Rarity","Take that, you ruffian!"
"Friendship is Magic, part 2","Lauren Faust","Rarity","My hair! Woop--"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","Wait."
"Friendship is Magic, part 2","Lauren Faust","Applejack","YEE-HAW! Git along, little dogie."
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","Wait."
"Friendship is Magic, part 2","Lauren Faust","Applejack","Whoa! All yours, partner."
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","I'm on it."
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","Wait!"
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","Rainbow!"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","WAIT!"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","Shhh... It's okay. Oh, you poor, poor little baby."
"Friendship is Magic, part 2","Lauren Faust","Rainbow Dash","Little?"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","Now this might hurt for just a second."
"Friendship is Magic, part 2","Lauren Faust","Everypony","Fluttershy!"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","[giggles] Aw you're just a little ol' baby kitty, aren't you? Yes you are, yes you are."
"Friendship is Magic, part 2","Lauren Faust","Twilight Sparkle","How did you know about the thorn?"
"Friendship is Magic, part 2","Lauren Faust","Fluttershy","I didn't. Sometimes we all just need to be shown a little kindness."
